time,ppg_med
1721884423.762,-11.0,
1721884423.787,-5.0,
1721884423.812,-3.0,
1721884423.837,-14.0,
1721884423.862,-37.0,
1721884423.8869998,-62.0,
1721884423.912,-76.0,
1721884423.9369998,-74.0,
1721884423.962,-65.0,
1721884423.9869998,-60.0,
1721884424.0119998,-68.0,
1721884424.037,-84.0,
1721884424.0619998,-92.0,
1721884424.087,-85.0,
1721884424.1119998,-68.0,
1721884424.1369998,-51.0,
1721884424.162,-39.0,
1721884424.1869998,-27.0,
1721884424.212,-8.0,
1721884424.2369998,19.0,
1721884424.2619998,49.0,
1721884424.287,74.0,
1721884424.312,94.0,
1721884424.337,114.0,
1721884424.362,136.0,
1721884424.3869998,155.0,
1721884424.412,167.0,
1721884424.437,168.0,
1721884424.462,161.0,
1721884424.487,152.0,
1721884424.5119998,147.0,
1721884424.537,145.0,
1721884424.562,144.0,
1721884424.587,138.0,
1721884424.612,124.0,
1721884424.6369998,108.0,
1721884424.662,95.0,
1721884424.687,87.0,
1721884424.7120001,80.0,
1721884424.737,71.0,
1721884424.762,61.0,
1721884424.787,55.0,
1721884424.812,52.0,
1721884424.8370001,43.0,
1721884424.862,25.0,
1721884424.887,1.0,
1721884424.912,-20.0,
1721884424.937,-35.0,
1721884424.9620001,-54.0,
1721884424.987,-84.0,
1721884425.012,-120.0,
1721884425.037,-148.0,
1721884425.062,-166.0,
1721884425.087,-188.0,
1721884425.112,-227.0,
1721884425.1369998,-276.0,
1721884425.162,-314.0,
1721884425.1869998,-336.0,
1721884425.212,-355.0,
1721884425.237,-392.0,
1721884425.2619998,-436.0,
1721884425.287,-461.0,
1721884425.3119998,-459.0,
1721884425.337,-454.0,
1721884425.362,-478.0,
1721884425.3869998,-520.0,
1721884425.412,-540.0,
1721884425.4369998,-517.0,
1721884425.462,-474.0,
1721884425.487,-446.0,
1721884425.512,-421.0,
1721884425.537,-355.0,
1721884425.562,-238.0,
1721884425.587,-128.0,
1721884425.612,-93.0,
1721884425.637,-126.0,
1721884425.662,-148.0,
1721884425.687,-98.0,
1721884425.712,-9.0,
1721884425.737,38.0,
1721884425.762,24.0,
1721884425.787,22.0,
1721884425.812,103.0,
1721884425.837,241.0,
1721884425.862,351.0,
1721884425.8869998,396.0,
1721884425.912,432.0,
1721884425.9369998,518.0,
1721884425.962,624.0,
1721884425.9869998,675.0,
1721884426.0119998,669.0,
1721884426.037,696.0,
1721884426.0619998,825.0,
1721884426.087,1001.0,
1721884426.1119998,1023.0,
1721884426.1369998,1023.0,
1721884426.162,1023.0,
1721884426.1869998,1023.0,
1721884426.212,1023.0,
1721884426.2369998,1023.0,
1721884426.2619998,1023.0,
1721884426.287,1023.0,
1721884426.312,1023.0,
1721884426.337,1023.0,
1721884426.362,1023.0,
1721884426.3869998,1023.0,
