time,battery
1721884780.845,55,
1721884781.841,55,
1721884782.848,55,
1721884783.849,55,
1721884785.351,55,
1721884786.35,55,
1721884787.366,55,
1721884787.858,55,
1721884788.86,55,
1721884789.854,55,
1721884791.847,55,
1721884792.852,55,
1721884793.843,55,
1721884794.854,55,
1721884796.342,55,
1721884796.84,55,
1721884797.839,55,
1721884799.821,55,
1721884800.823,55,
1721884801.834,55,
1721884803.331,55,
1721884803.833,55,
1721884804.83,55,
1721884805.826,55,
1721884807.321,55,
1721884807.82,55,
1721884808.825,55,
1721884809.815,55,
1721884810.814,55,
1721884812.312,55,
1721884813.32,55,
1721884814.791,55,
1721884815.777,55,
1721884816.779,55,
1721884818.286,55,
1721884818.785,55,
1721884819.801,55,
1721884820.822,55,
1721884821.82,55,
1721884822.791,55,
1721884824.776,55,
1721884826.779,55,
1721884828.271,55,
1721884829.295,55,
1721884829.788,55,
1721884831.305,55,
1721884831.81,55,
1721884832.837,55,
1721884833.826,55,
1721884834.822,55,
1721884835.812,55,
1721884837.288,55,
1721884838.775,55,
1721884840.252,55,
1721884840.738,55,
1721884842.25,55,
1721884842.764,55,
1721884843.765,55,
1721884845.271,55,
1721884846.748,55,
1721884847.742,55,
1721884849.728,55,
1721884853.724,55,
1721884856.165,55,
1721884856.66,55,
1721884857.662,55,
1721884858.655,55,
1721884860.136,55,
1721884860.64,55,
1721884861.648,55,
1721884863.607,55,
1721884865.104,55,
1721884866.096,55,
1721884866.602,55,
1721884868.125,55,
1721884868.628,55,
1721884869.624,55,
1721884870.623,55,
1721884872.104,55,
1721884872.603,55,
1721884873.598,55,
1721884875.078,55,
1721884875.582,55,
1721884878.089,55,
1721884878.597,55,
1721884879.61,55,
1721884880.608,55,
1721884882.102,55,
1721884882.608,55,
1721884884.081,55,
1721884884.577,55,
1721884885.574,55,
1721884886.572,55,
1721884887.588,55,
1721884888.574,55,
1721884890.569,55,
1721884892.045,55,
1721884893.042,55,
1721884893.553,55,
1721884894.548,55,
1721884896.026,55,
1721884897.017,55,
1721884897.509,55,
1721884899.008,55,
1721884899.494,55,
1721884901.474,55,
1721884904.944,55,
1721884905.432,55,
1721884906.423,55,
1721884907.945,55,
1721884908.447,55,
1721884909.447,55,
1721884910.924,55,
1721884911.927,55,
1721884912.409,55,
1721884913.876,55,
1721884914.375,55,
1721884915.862,55,
1721884917.868,55,
1721884918.863,55,
1721884919.848,55,
1721884920.816,55,
1721884921.321,55,
1721884922.302,55,
1721884924.309,55,
1721884925.298,55,
1721884926.294,55,
1721884927.775,55,
1721884928.27,55,
1721884929.763,55,
1721884930.267,55,
1721884931.262,55,
1721884932.772,55,
1721884933.259,55,
1721884934.271,55,
1721884936.271,55,
1721884937.273,55,
1721884938.241,55,
1721884939.243,55,
1721884940.228,55,
1721884941.744,55,
1721884942.734,55,
1721884943.223,55,
1721884944.22,55,
1721884945.212,55,
1721884946.684,55,
1721884947.679,55,
1721884948.7,55,
1721884949.2,55,
1721884950.2,55,
1721884951.189,55,
1721884952.188,55,
1721884954.177,55,
1721884955.157,55,
1721884957.144,55,
1721884958.16,55,
1721884959.645,55,
1721884960.657,55,
1721884961.158,55,
1721884962.173,55,
1721884963.185,55,
1721884965.175,55,
1721884966.176,55,
1721884967.191,55,
1721884968.181,55,
1721884969.182,55,
1721884970.691,55,
1721884971.678,55,
1721884972.18,55,
1721884973.177,55,
1721884974.169,55,
1721884975.159,55,
1721884976.643,55,
1721884977.624,55,
1721884979.103,55,
1721884980.56,55,
1721884981.064,55,
1721884982.054,55,
1721884983.027,55,
1721884985.02,55,
1721884984.523,55,
1721884987.042,55,
1721884988.544,55,
1721884989.039,55,
1721884990.027,55,
1721884991.006,55,
1721884992.498,55,
1721884992.999,55,
1721884994.0,55,
1721884994.995,55,
1721884996.492,55,
1721884996.98,55,
1721884997.976,55,
1721884998.963,55,
1721885000.453,55,
1721885000.944,55,
1721885001.926,55,
1721885003.926,55,
1721885004.919,55,
1721885006.898,55,
1721885008.382,55,
1721885008.881,55,
1721885010.899,55,
1721885012.38,55,
1721885013.888,55,
1721885015.346,55,
1721885015.844,55,
1721885016.824,55,
1721885017.815,55,
1721885018.809,55,
1721885020.293,55,
1721885020.8,55,
1721885022.3,55,
1721885022.803,55,
1721885024.296,55,
1721885024.795,55,
1721885026.275,55,
1721885027.777,55,
1721885030.282,55,
1721885030.785,55,
1721885031.782,55,
1721885032.779,55,
1721885033.771,55,
1721885034.777,55,
1721885035.769,55,
1721885036.783,55,
1721885037.776,55,
1721885038.79,55,
1721885039.77,55,
1721885040.773,55,
1721885041.758,55,
1721885043.253,55,
1721885044.254,55,
1721885044.764,55,
1721885046.267,55,
1721885046.764,55,
1721885047.758,55,
1721885050.239,55,
1721885050.739,55,
1721885051.751,55,
1721885053.262,55,
1721885053.758,55,
1721885054.76,55,
1721885057.721,55,
1721885058.711,55,
1721885059.711,55,
1721885060.725,55,
1721885061.744,55,
1721885062.727,55,
1721885063.717,55,
1721885065.227,55,
1721885066.236,55,
1721885066.74,55,
1721885069.244,55,
1721885070.259,55,
1721885070.739,55,
1721885071.759,55,
1721885072.757,55,
1721885073.78,55,
1721885075.244,55,
1721885076.223,55,
1721885077.706,55,
1721885078.689,55,
1721885079.696,55,
1721885080.69,55,
1721885081.688,55,
1721885082.691,55,
1721885083.68,55,
1721885085.187,55,
1721885085.686,55,
1721885086.667,55,
1721885088.167,55,
1721885089.141,55,
1721885089.666,55,
1721885091.631,55,
1721885092.661,55,
1721885094.157,55,
1721885094.66,55,
1721885095.638,55,
1721885097.124,55,
1721885097.626,55,
1721885098.611,55,
1721885100.147,55,
1721885101.132,55,
