time,quality_max
1721884829.295,54,
1721884829.788,54,
1721884831.305,63,
1721884831.81,63,
1721884832.837,63,
1721884833.826,64,
1721884834.822,71,
1721884835.812,71,
1721884837.288,71,
1721884838.775,71,
1721884840.252,71,
1721884840.738,27,
1721884842.25,34,
1721884842.764,41,
1721884843.765,41,
1721884845.271,43,
1721884846.748,53,
1721884847.742,53,
1721884849.728,56,
1721884853.724,57,
1721884856.165,57,
1721884856.66,57,
1721884857.662,57,
1721884858.655,57,
1721884860.136,51,
1721884860.64,61,
1721884861.648,66,
1721884863.607,68,
1721884865.104,70,
1721884866.096,70,
1721884866.602,70,
1721884868.125,70,
1721884868.628,70,
1721884869.624,70,
1721884870.623,71,
1721884872.104,71,
1721884872.603,71,
1721884873.598,71,
1721884875.078,71,
1721884875.582,71,
1721884878.089,59,
1721884878.597,63,
1721884879.61,63,
1721884880.608,63,
1721884882.102,63,
1721884882.608,63,
1721884884.081,63,
1721884884.577,57,
1721884885.574,56,
1721884886.572,56,
1721884887.588,56,
1721884888.574,56,
1721884890.569,52,
1721884892.045,52,
1721884893.042,52,
1721884893.553,52,
1721884894.548,52,
1721884896.026,52,
1721884897.017,43,
1721884897.509,63,
1721884899.008,63,
1721884899.494,63,
1721884901.474,65,
1721884904.944,65,
1721884905.432,65,
1721884906.423,65,
1721884907.945,48,
1721884908.447,48,
1721884909.447,48,
1721884910.924,48,
1721884911.927,48,
1721884912.409,41,
1721884913.876,35,
1721884914.375,33,
1721884915.862,28,
1721884917.868,7,
1721884918.863,28,
1721884919.848,28,
1721884920.816,41,
1721884921.321,41,
1721884922.302,41,
1721884924.309,41,
1721884925.298,57,
1721884926.294,73,
1721884927.775,76,
1721884927.27,76,
1721884929.763,76,
1721884930.267,76,
1721884930.262,76,
1721884932.772,76,
1721884933.259,60,
1721884933.271,60,
1721884936.271,60,
1721884936.273,60,
1721884938.241,60,
1721884939.243,60,
1721884939.228,60,
1721884941.744,60,
1721884942.734,60,
1721884942.223,60,
1721884944.22,60,
1721884945.212,62,
1721884945.684,62,
1721884946.679,62,
1721884948.7,67,
1721884948.2,67,
1721884949.2,67,
1721884951.189,67,
1721884951.188,67,
1721884954.177,63,
1721884954.157,63,
1721884957.144,57,
1721884957.16,57,
1721884958.645,51,
1721884960.657,72,
1721884960.158,72,
1721884961.173,72,
1721884963.185,72,
1721884964.175,72,
1721884966.176,65,
1721884966.191,65,
1721884967.181,64,
1721884969.182,69,
1721884969.691,69,
1721884970.678,69,
1721884972.18,69,
1721884972.177,69,
1721884973.169,69,
1721884975.159,63,
1721884975.643,63,
1721884976.624,63,
1721884978.103,43,
1721884979.56,45,
1721884980.064,47,
1721884981.054,58,
1721884982.027,58,
1721884984.02,61,
1721884983.523,60,
1721884986.042,63,
1721884987.544,66,
1721884988.039,71,
1721884989.027,73,
1721884990.006,73,
1721884992.498,73,
1721884991.999,73,
1721884993.0,73,
1721884993.995,73,
1721884995.492,72,
1721884996.98,72,
1721884997.976,59,
1721884998.963,59,
1721885000.453,49,
1721885000.944,49,
1721885001.926,39,
1721885003.926,51,
1721885004.919,51,
1721885006.898,53,
1721885008.382,53,
1721885008.881,57,
1721885010.899,88,
1721885012.38,90,
1721885013.888,90,
1721885015.346,90,
1721885015.844,90,
1721885016.824,90,
1721885017.815,52,
1721885018.809,52,
1721885020.293,52,
1721885020.8,52,
1721885022.3,47,
1721885022.803,47,
1721885024.296,62,
1721885024.795,62,
1721885026.275,62,
1721885027.777,62,
1721885030.282,58,
1721885030.785,60,
1721885031.782,60,
1721885032.779,60,
1721885033.771,60,
1721885034.777,62,
1721885035.769,62,
1721885036.783,62,
1721885037.776,62,
1721885038.79,65,
1721885039.77,65,
1721885040.773,65,
1721885041.758,65,
1721885043.253,65,
1721885044.254,65,
1721885044.764,70,
1721885046.267,70,
1721885046.764,70,
1721885047.758,70,
1721885050.239,70,
1721885050.739,67,
1721885051.751,23,
1721885053.262,62,
1721885053.758,62,
1721885054.76,62,
1721885057.721,62,
1721885058.711,58,
1721885059.711,65,
1721885060.725,65,
1721885061.744,65,
1721885062.727,65,
1721885063.717,65,
1721885065.227,65,
1721885066.236,65,
1721885066.74,65,
1721885069.244,65,
1721885070.259,65,
1721885070.739,57,
1721885071.759,57,
1721885072.757,57,
1721885073.78,50,
1721885075.244,50,
1721885076.223,50,
1721885077.706,31,
1721885078.689,54,
1721885079.696,60,
1721885080.69,73,
1721885081.688,73,
1721885082.691,73,
1721885083.68,73,
1721885085.187,73,
1721885085.686,73,
1721885086.667,62,
1721885088.167,62,
1721885089.141,62,
1721885089.666,62,
1721885091.631,62,
1721885092.661,67,
1721885094.157,69,
1721885094.66,69,
1721885095.638,69,
1721885097.124,69,
1721885097.626,69,
1721885098.611,69,
1721885100.147,44,
1721885101.132,20,
1721885102.613,67,
1721885103.57,67,
1721885105.055,67,
1721885105.564,67,
1721885106.548,67,
1721885108.052,64,
1721885108.548,64,
1721885110.045,65,
1721885110.549,65,
1721885111.527,65,
1721885112.51,65,
1721885113.499,65,
1721885114.983,65,
1721885115.484,58,
1721885116.482,58,
1721885118.003,58,
1721885118.505,58,
1721885119.496,58,
1721885120.5,58,
1721885121.491,46,
1721885122.49,49,
1721885125.011,49,
1721885125.505,49,
1721885127.499,49,
1721885128.499,39,
1721885130.006,36,
1721885130.486,39,
1721885131.972,43,
1721885133.983,63,
1721885134.485,69,
1721885135.48,69,
1721885136.97,72,
1721885137.464,72,
1721885138.446,72,
1721885139.452,72,
1721885140.438,73,
1721885141.917,73,
1721885142.424,73,
1721885143.439,73,
1721885144.441,73,
1721885145.454,73,
1721885146.446,72,
1721885147.466,67,
1721885148.464,54,
1721885149.97,45,
1721885150.464,44,
1721885151.96,61,
1721885152.475,61,
1721885154.486,61,
1721885155.999,70,
1721885156.487,78,
1721885157.978,81,
1721885158.966,85,
1721885159.483,85,
1721885160.496,85,
1721885161.48,85,
1721885162.972,85,
1721885163.466,85,
1721885164.962,80,
1721885165.478,80,
1721885166.457,80,
1721885167.934,80,
1721885168.454,71,
1721885169.439,68,
1721885170.928,67,
1721885172.428,63,
1721885173.924,61,
1721885174.922,61,
1721885175.916,61,
1721885177.45,67,
1721885178.452,67,
1721885179.936,67,
1721885180.436,67,
1721885181.417,67,
1721885182.416,51,
1721885183.412,44,
1721885184.413,52,
1721885185.435,52,
1721885186.418,68,
1721885187.903,69,
1721885188.402,69,
1721885189.399,73,
1721885190.893,73,
1721885192.383,82,
1721885193.376,82,
1721885194.362,82,
1721885195.881,82,
1721885196.401,82,
1721885197.381,73,
1721885198.398,73,
1721885200.9,73,
1721885201.901,73,
1721885203.394,59,
1721885204.874,60,
1721885205.377,64,
1721885206.374,64,
1721885207.885,64,
1721885208.381,64,
1721885209.378,64,
1721885210.364,64,
1721885211.861,59,
1721885212.36,45,
1721885213.362,49,
1721885214.365,49,
1721885215.364,49,
1721885217.841,49,
1721885218.337,49,
1721885219.347,48,
1721885220.841,48,
1721885221.331,45,
1721885222.828,38,
1721885223.837,34,
1721885225.816,53,
1721885227.313,53,
1721885229.803,53,
1721885230.316,51,
1721885231.321,63,
1721885233.287,68,
1721885233.29,68,
1721885235.782,74,
1721885236.284,74,
1721885236.277,74,
1721885238.791,74,
1721885239.279,74,
1721885239.269,74,
1721885241.281,73,
1721885242.29,73,
1721885243.301,73,
1721885244.815,73,
1721885246.328,43,
1721885247.309,43,
1721885248.295,60,
1721885248.287,60,
1721885250.288,60,
1721885251.281,60,
1721885251.288,60,
1721885253.295,60,
1721885254.28,76,
1721885256.259,76,
1721885257.259,76,
1721885257.227,76,
1721885259.225,76,
1721885260.225,72,
1721885260.238,72,
1721885262.249,68,
1721885263.227,68,
1721885263.227,68,
1721885265.222,61,
1721885266.211,51,
1721885266.736,51,
1721885268.725,40,
1721885269.216,61,
1721885270.19,61,
1721885272.201,61,
1721885272.194,61,
1721885274.204,61,
1721885276.171,47,
1721885278.683,71,
1721885278.704,71,
1721885280.218,74,
1721885281.687,74,
1721885281.193,74,
1721885283.213,74,
1721885284.208,74,
1721885284.2,74,
1721885285.699,66,
1721885287.185,35,
1721885287.173,35,
1721885288.175,36,
1721885290.172,55,
1721885290.161,55,
1721885291.647,55,
1721885293.648,63,
1721885293.152,63,
1721885294.138,63,
1721885296.15,63,
1721885296.157,63,
1721885297.139,63,
1721885299.133,53,
1721885299.14,53,
1721885300.643,45,
1721885302.671,48,
1721885302.659,48,
1721885303.662,48,
1721885305.149,62,
1721885305.164,62,
1721885306.164,62,
1721885308.179,62,
1721885308.176,62,
1721885309.177,62,
1721885311.142,43,
1721885311.146,43,
1721885312.149,43,
1721885314.168,43,
1721885314.679,43,
1721885315.176,47,
1721885317.17,71,
1721885317.161,71,
1721885318.163,71,
1721885320.141,71,
1721885320.156,71,
1721885321.164,71,
1721885323.171,63,
1721885323.188,63,
1721885324.183,63,
1721885326.664,63,
1721885329.179,58,
1721885330.151,58,
1721885332.155,44,
1721885332.156,44,
1721885333.63,34,
1721885335.144,51,
1721885335.655,51,
1721885336.148,58,
1721885338.152,80,
1721885338.146,80,
1721885339.126,80,
1721885341.111,80,
1721885341.093,80,
1721885342.087,80,
1721885343.08,80,
1721885344.07,65,
1721885345.067,35,
1721885346.095,35,
1721885347.092,35,
1721885348.078,26,
1721885349.08,26,
1721885353.992,47,
1721885355.005,47,
1721885355.981,47,
1721885358.505,47,
1721885358.006,47,
1721885359.014,37,
1721885360.038,43,
1721885362.488,49,
1721885363.004,61,
1721885364.482,61,
1721885365.504,64,
1721885366.008,64,
1721885367.496,64,
1721885367.998,64,
1721885369.488,64,
1721885371.004,62,
1721885372.479,62,
1721885374.501,60,
1721885374.001,74,
1721885375.502,74,
1721885375.999,74,
1721885377.49,74,
1721885377.991,74,
1721885379.51,74,
1721885380.013,83,
1721885382.019,83,
1721885381.02,83,
1721885383.033,83,
1721885385.041,83,
1721885386.533,75,
1721885387.019,70,
