time,heart_rate
1721884829.295,102,
1721884829.788,103,
1721884831.305,104,
1721884831.81,104,
1721884832.837,104,
1721884833.826,103,
1721884834.822,102,
1721884835.812,101,
1721884837.288,100,
1721884838.775,99,
1721884840.252,99,
1721884840.738,98,
1721884842.25,103,
1721884842.764,105,
1721884843.765,105,
1721884845.271,107,
1721884846.748,106,
1721884847.742,107,
1721884849.728,106,
1721884853.724,105,
1721884856.165,104,
1721884856.66,104,
1721884857.662,104,
1721884858.655,104,
1721884860.136,110,
1721884860.64,114,
1721884861.648,116,
1721884863.607,120,
1721884865.104,122,
1721884866.096,125,
1721884866.602,127,
1721884868.125,128,
1721884868.628,128,
1721884869.624,127,
1721884870.623,124,
1721884872.104,125,
1721884872.603,125,
1721884873.598,125,
1721884875.078,124,
1721884875.582,124,
1721884878.089,117,
1721884878.597,115,
1721884879.61,113,
1721884880.608,113,
1721884882.102,113,
1721884882.608,112,
1721884884.081,113,
1721884884.577,112,
1721884885.574,111,
1721884886.572,111,
1721884887.588,111,
1721884888.574,109,
1721884890.569,106,
1721884892.045,107,
1721884893.042,106,
1721884893.553,106,
1721884894.548,107,
1721884896.026,109,
1721884897.017,110,
1721884897.509,109,
1721884899.008,109,
1721884899.494,107,
1721884901.474,104,
1721884904.944,104,
1721884905.432,103,
1721884906.423,103,
1721884907.945,103,
1721884908.447,103,
1721884909.447,103,
1721884910.924,103,
1721884911.927,103,
1721884912.409,103,
1721884913.876,103,
1721884914.375,103,
1721884915.862,103,
1721884917.868,103,
1721884918.863,107,
1721884919.848,110,
1721884920.816,114,
1721884921.321,116,
1721884922.302,113,
1721884924.309,111,
1721884925.298,110,
1721884926.294,108,
1721884927.775,106,
1721884927.27,106,
1721884929.763,106,
1721884930.267,108,
1721884930.262,108,
1721884932.772,111,
1721884933.259,111,
1721884933.271,111,
1721884936.271,112,
1721884936.273,112,
1721884938.241,114,
1721884939.243,113,
1721884939.228,113,
1721884941.744,113,
1721884942.734,113,
1721884942.223,113,
1721884944.22,118,
1721884945.212,118,
1721884945.684,118,
1721884946.679,118,
1721884948.7,116,
1721884948.2,116,
1721884949.2,116,
1721884951.189,116,
1721884951.188,116,
1721884954.177,113,
1721884954.157,113,
1721884957.144,113,
1721884957.16,113,
1721884958.645,112,
1721884960.657,110,
1721884960.158,110,
1721884961.173,111,
1721884963.185,111,
1721884964.175,111,
1721884966.176,108,
1721884966.191,108,
1721884967.181,106,
1721884969.182,102,
1721884969.691,102,
1721884970.678,102,
1721884972.18,102,
1721884972.177,102,
1721884973.169,102,
1721884975.159,102,
1721884975.643,102,
1721884976.624,102,
1721884978.103,101,
1721884979.56,100,
1721884980.064,99,
1721884981.054,98,
1721884982.027,98,
1721884984.02,98,
1721884983.523,98,
1721884986.042,99,
1721884987.544,98,
1721884988.039,98,
1721884989.027,97,
1721884990.006,96,
1721884992.498,96,
1721884991.999,96,
1721884993.0,94,
1721884993.995,95,
1721884995.492,95,
1721884996.98,95,
1721884997.976,94,
1721884998.963,96,
1721885000.453,95,
1721885000.944,95,
1721885001.926,97,
1721885003.926,96,
1721885004.919,96,
1721885006.898,91,
1721885008.382,89,
1721885008.881,85,
1721885010.899,84,
1721885012.38,83,
1721885013.888,83,
1721885015.346,83,
1721885015.844,88,
1721885016.824,85,
1721885017.815,85,
1721885018.809,85,
1721885020.293,85,
1721885020.8,85,
1721885022.3,86,
1721885022.803,89,
1721885024.296,90,
1721885024.795,91,
1721885026.275,90,
1721885027.777,98,
1721885030.282,102,
1721885030.785,104,
1721885031.782,105,
1721885032.779,106,
1721885033.771,107,
1721885034.777,109,
1721885035.769,109,
1721885036.783,109,
1721885037.776,109,
1721885038.79,108,
1721885039.77,108,
1721885040.773,109,
1721885041.758,109,
1721885043.253,109,
1721885044.254,108,
1721885044.764,107,
1721885046.267,106,
1721885046.764,106,
1721885047.758,106,
1721885050.239,106,
1721885050.739,106,
1721885051.751,106,
1721885053.262,107,
1721885053.758,106,
1721885054.76,107,
1721885057.721,104,
1721885058.711,102,
1721885059.711,100,
1721885060.725,99,
1721885061.744,97,
1721885062.727,95,
1721885063.717,94,
1721885065.227,92,
1721885066.236,91,
1721885066.74,92,
1721885069.244,92,
1721885070.259,92,
1721885070.739,91,
1721885071.759,91,
1721885072.757,91,
1721885073.78,91,
1721885075.244,91,
1721885076.223,91,
1721885077.706,94,
1721885078.689,95,
1721885079.696,96,
1721885080.69,96,
1721885081.688,96,
1721885082.691,95,
1721885083.68,100,
1721885085.187,103,
1721885085.686,106,
1721885086.667,108,
1721885088.167,106,
1721885089.141,111,
1721885089.666,108,
1721885091.631,108,
1721885092.661,108,
1721885094.157,108,
1721885094.66,108,
1721885095.638,108,
1721885097.124,108,
1721885097.626,108,
1721885098.611,108,
1721885100.147,108,
1721885101.132,108,
1721885102.613,109,
1721885103.57,110,
1721885105.055,111,
1721885105.564,112,
1721885106.548,112,
1721885108.052,111,
1721885108.548,112,
1721885110.045,112,
1721885110.549,111,
