time,temperature
1721884719.213,36.0,
1721884720.694,36.0,
1721884722.192,36.0,
1721884724.175,36.0,
1721884725.16,35.98,
1721884726.154,35.98,
1721884727.635,35.98,
1721884728.126,35.98,
1721884729.129,35.98,
1721884730.145,35.98,
1721884731.141,35.98,
1721884732.146,35.98,
1721884733.148,35.98,
1721884734.133,35.98,
1721884735.114,36.03,
1721884736.128,36.03,
1721884737.109,36.03,
1721884738.078,36.03,
1721884740.076,36.03,
1721884742.582,36.03,
1721884743.591,36.03,
1721884744.562,36.03,
1721884745.55,36.03,
1721884746.041,36.03,
1721884747.512,36.03,
1721884748.005,36.03,
1721884749.007,36.03,
1721884749.982,36.03,
1721884750.961,36.03,
1721884752.94,36.03,
1721884753.946,36.03,
1721884755.906,36.06,
1721884757.808,36.06,
1721884759.332,36.06,
1721884759.825,36.06,
1721884760.816,36.06,
1721884763.3,36.06,
1721884763.805,36.06,
1721884765.284,36.06,
1721884765.78,36.08,
1721884766.782,36.08,
1721884767.775,36.08,
1721884768.787,36.08,
1721884770.791,36.08,
1721884771.818,36.08,
1721884772.817,36.08,
1721884773.812,36.08,
1721884774.807,36.08,
1721884775.822,36.05,
1721884777.317,36.05,
1721884777.833,36.05,
1721884779.341,36.05,
1721884779.846,36.05,
1721884780.845,36.05,
1721884781.841,36.05,
1721884782.848,36.05,
1721884783.849,36.05,
1721884785.351,36.05,
1721884786.35,36.05,
1721884787.366,36.05,
1721884787.858,36.05,
1721884788.86,36.05,
1721884789.854,36.05,
1721884791.847,36.05,
1721884792.852,36.05,
1721884793.843,36.05,
1721884794.854,36.05,
1721884796.342,36.04,
1721884796.84,36.04,
1721884797.839,36.04,
1721884799.821,36.04,
1721884800.823,36.04,
1721884801.834,36.04,
1721884803.331,36.04,
1721884803.833,36.04,
1721884804.83,36.04,
1721884805.826,36.02,
1721884807.321,36.02,
1721884807.82,36.02,
1721884808.825,36.02,
1721884809.815,36.02,
1721884810.814,36.02,
1721884812.312,36.02,
1721884813.32,36.02,
1721884814.791,36.02,
1721884815.777,36.05,
1721884816.779,36.05,
1721884818.286,36.05,
1721884818.785,36.05,
1721884819.801,36.05,
1721884820.822,36.05,
1721884821.82,36.05,
1721884822.791,36.05,
1721884824.776,36.05,
1721884826.779,36.05,
1721884828.271,36.05,
1721884829.295,36.05,
1721884829.788,36.05,
1721884831.305,36.05,
1721884831.81,36.05,
1721884832.837,36.05,
1721884833.826,36.05,
1721884834.822,36.05,
1721884835.812,36.08,
1721884837.288,36.08,
1721884838.775,36.08,
1721884840.252,36.08,
1721884840.738,36.08,
1721884842.25,36.08,
1721884842.764,36.08,
1721884843.765,36.08,
1721884845.271,36.08,
1721884846.748,36.01,
1721884847.742,36.01,
1721884849.728,36.01,
1721884853.724,36.01,
1721884856.165,36.05,
1721884856.66,36.05,
1721884857.662,36.05,
1721884858.655,36.05,
