time,acc_deviation
1721884420.101,2.01,
1721884421.096,1.42,
1721884422.115,1.42,
1721884423.641,0.84,
1721884424.621,4.42,
1721884425.126,4.42,
1721884427.105,4.33,
1721884428.591,4.33,
1721884429.094,6.43,
1721884430.096,3.58,
1721884431.571,3.58,
1721884433.068,12.27,
1721884434.566,5.54,
1721884435.063,20.08,
1721884436.544,23.24,
1721884437.043,19.25,
1721884438.034,11.03,
1721884439.507,3.88,
1721884441.019,4.12,
1721884442.004,5.0,
1721884442.976,9.28,
1721884444.011,8.08,
1721884445.013,4.15,
1721884446.021,2.62,
1721884447.004,18.81,
1721884447.992,4.4,
1721884449.493,3.38,
1721884449.983,5.68,
1721884452.477,2.6799999999999997,
1721884455.02,12.0,
1721884456.019,2.9699999999999998,
1721884457.006,1.24,
1721884458.013,3.4,
1721884459.029,28.44,
1721884460.026,3.44,
1721884461.544,4.73,
1721884462.541,0.11,
1721884463.032,0.25,
1721884464.551,0.22,
1721884465.06,0.16,
1721884466.061,0.18,
1721884467.064,0.17,
1721884468.042,0.17,
1721884469.047,0.21,
1721884470.541,0.15,
1721884471.53,0.17,
1721884472.041,0.17,
1721884473.028,0.2,
1721884474.042,0.24,
1721884476.046,0.17,
1721884479.057,0.19,
1721884480.045,0.15,
1721884481.02,0.15,
1721884482.536,0.16,
1721884483.539,0.17,
1721884484.543,0.18,
1721884485.538,0.19,
1721884486.036,0.24,
1721884487.535,0.15,
1721884488.548,0.18,
1721884490.054,0.9,
1721884491.53,0.16,
1721884492.505,0.21,
1721884493.487,0.29,
1721884493.988,0.24,
1721884494.974,0.48,
1721884496.983,0.3,
1721884497.987,0.19,
1721884498.968,0.16,
1721884499.963,0.18,
1721884501.469,0.17,
1721884502.481,0.2,
1721884502.967,0.18,
1721884504.466,0.22,
1721884504.968,0.17,
1721884507.492,0.21,
1721884507.991,0.19,
1721884509.493,0.21,
1721884509.98,0.17,
1721884510.986,0.31,
1721884511.964,0.77,
1721884512.982,0.79,
1721884513.978,1.39,
1721884514.963,1.24,
1721884516.446,0.58,
1721884517.455,1.77,
1721884517.96,1.25,
1721884518.962,1.34,
1721884519.932,1.57,
1721884521.452,0.89,
1721884521.973,0.44,
1721884522.969,0.15,
1721884524.961,0.18,
1721884526.928,0.18,
1721884528.414,0.2,
1721884528.904,0.16,
1721884529.897,0.12,
1721884530.89,0.15,
1721884531.892,0.16,
1721884532.885,0.17,
1721884534.373,0.17,
1721884534.858,0.17,
1721884535.859,0.14,
1721884536.847,0.17,
1721884537.854,0.11,
1721884538.849,0.12,
1721884539.869,0.15,
1721884540.862,0.11,
1721884541.846,0.17,
1721884542.811,0.13,
1721884543.823,0.22,
1721884545.352,0.17,
1721884545.857,0.12,
1721884546.868,0.15,
1721884548.369,0.26,
1721884548.855,0.16,
1721884550.324,0.18,
1721884550.815,0.15,
1721884552.81,0.14,
1721884553.783,0.14,
1721884555.798,0.1,
1721884556.768,0.13,
1721884558.275,0.18,
1721884558.782,0.17,
1721884560.289,0.21,
1721884560.789,0.18,
1721884561.789,0.19,
1721884562.79,0.2,
1721884564.257,0.17,
1721884564.743,0.17,
1721884565.731,0.2,
1721884568.673,0.17,
1721884569.672,0.17,
1721884570.691,0.18,
1721884571.693,0.15,
1721884572.703,0.22,
1721884573.686,0.15,
1721884577.717,0.16,
1721884578.719,0.12,
1721884581.249,0.17,
1721884581.743,0.13,
1721884582.751,0.85,
1721884583.752,0.54,
1721884584.768,1.94,
1721884585.756,0.64,
1721884587.73,0.58,
1721884586.74,0.81,
1721884588.768,1.11,
1721884589.782,0.89,
1721884590.782,0.5,
1721884591.778,0.61,
1721884592.774,0.55,
1721884593.754,1.51,
1721884595.246,0.84,
1721884595.745,1.45,
1721884597.25,0.56,
1721884597.738,1.71,
1721884598.722,1.01,
1721884599.726,0.49,
1721884600.734,0.67,
1721884601.698,0.9,
1721884602.662,0.49,
1721884603.669,1.06,
1721884605.163,0.88,
1721884605.659,0.56,
1721884607.136,1.02,
1721884608.642,0.7,
1721884609.668,1.56,
1721884610.673,0.68,
1721884611.685,0.62,
1721884612.664,0.38,
1721884613.689,0.15,
1721884614.689,0.18,
1721884615.705,0.16,
1721884616.73,0.14,
1721884617.711,0.33,
1721884618.719,0.16,
1721884620.206,1.5,
1721884620.709,0.82,
1721884621.698,1.45,
1721884622.701,1.0,
1721884623.692,0.87,
1721884624.697,1.53,
1721884625.721,1.85,
1721884627.699,1.73,
1721884628.685,1.82,
1721884631.14,0.59,
1721884631.646,0.86,
1721884632.632,1.4,
1721884633.632,1.82,
1721884634.617,1.4,
1721884635.615,0.66,
1721884636.612,1.77,
1721884638.1,1.25,
1721884639.1,0.72,
1721884640.097,0.99,
1721884640.59,0.77,
1721884642.116,0.95,
1721884643.104,1.14,
1721884643.6,1.73,
1721884644.57,1.41,
1721884646.051,0.73,
1721884646.55,0.28,
1721884647.552,0.18,
1721884648.544,0.18,
1721884649.541,2.0,
1721884651.03,1.67,
1721884652.523,1.58,
1721884654.016,1.09,
1721884655.024,1.69,
1721884656.53,0.86,
1721884658.047,0.73,
1721884658.545,1.12,
1721884659.54,0.28,
1721884661.029,1.51,
1721884662.503,1.12,
1721884663.507,0.93,
1721884664.499,1.24,
1721884665.473,0.89,
1721884666.467,0.64,
1721884667.46,1.32,
1721884669.441,0.21,
1721884670.414,1.2,
1721884671.382,0.8,
1721884672.392,1.09,
1721884673.398,1.43,
1721884674.387,1.04,
1721884675.363,1.26,
1721884677.333,1.4,
1721884678.846,1.04,
1721884679.34,0.33,
1721884680.349,0.17,
1721884681.349,0.42,
1721884682.359,0.71,
1721884683.819,0.73,
1721884684.31,0.8,
1721884685.3,1.63,
1721884686.309,1.05,
1721884687.332,0.28,
1721884688.327,0.89,
1721884689.329,0.83,
1721884690.317,1.07,
1721884691.818,1.17,
1721884693.317,0.38,
1721884694.334,1.0,
1721884695.317,1.22,
1721884696.33,1.99,
1721884697.342,0.99,
1721884698.872,1.2,
1721884699.356,0.99,
1721884700.347,1.87,
1721884702.345,1.99,
1721884704.823,1.32,
1721884705.325,0.91,
1721884706.337,0.5,
1721884707.35,2.3,
1721884708.352,0.91,
1721884709.346,0.47,
1721884710.336,0.77,
1721884711.313,0.21,
1721884712.307,0.22,
1721884714.288,1.16,
1721884715.291,1.45,
1721884716.269,1.45,
1721884717.265,0.91,
1721884718.242,0.54,
1721884719.213,0.54,
1721884720.694,1.4,
1721884722.192,1.46,
1721884724.175,0.36,
1721884725.16,0.36,
1721884726.154,0.49,
1721884727.635,0.86,
1721884728.126,0.86,
1721884729.129,0.66,
1721884730.145,1.62,
1721884731.141,1.62,
1721884732.146,0.82,
1721884733.148,0.89,
1721884734.133,0.89,
1721884735.114,0.99,
1721884736.128,0.39,
1721884737.109,0.39,
1721884738.078,0.25,
1721884740.076,0.73,
1721884742.582,0.59,
1721884743.591,0.35,
1721884744.562,0.33,
1721884745.55,0.32,
1721884746.041,1.14,
1721884747.512,1.36,
1721884748.005,1.57,
1721884749.007,1.38,
1721884749.982,0.73,
1721884750.961,0.75,
1721884752.94,0.76,
1721884753.946,2.32,
1721884755.906,0.9,
1721884757.808,0.99,
1721884759.332,0.92,
1721884759.825,1.37,
1721884760.816,2.25,
1721884763.3,1.51,
1721884763.805,1.22,
1721884765.284,0.53,
1721884765.78,2.2,
1721884766.782,1.39,
1721884767.775,1.67,
1721884768.787,1.06,
1721884770.791,0.21,
1721884771.818,0.17,
1721884772.817,0.19,
1721884773.812,0.17,
1721884774.807,0.18,
1721884775.822,0.15,
1721884777.317,0.12,
1721884777.833,0.19,
1721884779.341,0.18,
1721884779.846,0.16,
1721884780.845,1.24,
1721884781.841,4.17,
1721884782.848,3.46,
1721884783.849,5.45,
1721884785.351,4.93,
1721884786.35,4.14,
1721884787.366,5.1,
1721884787.858,2.24,
1721884788.86,2.6799999999999997,
1721884789.854,3.35,
1721884791.847,5.08,
1721884792.852,5.17,
1721884793.843,7.95,
1721884794.854,4.66,
1721884796.342,2.13,
1721884796.84,2.31,
1721884797.839,2.81,
1721884799.821,2.63,
1721884800.823,1.8399999999999999,
1721884801.834,1.6400000000000001,
1721884803.331,2.3200000000000003,
1721884803.833,0.55,
1721884804.83,2.06,
1721884805.826,1.9,
1721884807.321,1.32,
1721884807.82,1.81,
1721884808.825,2.55,
1721884809.815,2.27,
1721884810.814,3.17,
1721884812.312,3.54,
1721884813.32,2.87,
1721884814.791,1.55,
1721884815.777,2.98,
1721884816.779,1.3,
1721884818.286,2.51,
1721884818.785,2.6,
1721884819.801,2.7,
1721884820.822,1.48,
1721884821.82,1.68,
1721884822.791,0.82,
1721884824.776,2.53,
1721884826.779,2.8600000000000003,
1721884828.271,1.01,
1721884829.295,2.46,
1721884829.788,2.5,
1721884831.305,1.49,
1721884831.81,0.32,
1721884832.837,0.67,
1721884833.826,0.79,
1721884834.822,1.04,
1721884835.812,1.25,
1721884837.288,1.53,
1721884838.775,1.64,
1721884840.252,1.55,
1721884840.738,1.99,
1721884842.25,1.69,
1721884842.764,1.09,
1721884843.765,1.35,
1721884845.271,2.84,
1721884846.748,1.78,
1721884847.742,3.06,
1721884849.728,2.62,
1721884853.724,5.4399999999999995,
1721884856.165,2.37,
1721884856.66,1.24,
1721884857.662,0.69,
1721884858.655,0.57,
1721884860.136,2.71,
1721884860.64,2.02,
1721884861.648,2.4299999999999997,
1721884863.607,2.17,
1721884865.104,1.7,
1721884866.096,1.21,
1721884866.602,1.23,
1721884868.125,2.28,
1721884868.628,2.34,
1721884869.624,1.8900000000000001,
1721884870.623,1.69,
1721884872.104,1.22,
1721884872.603,2.49,
1721884873.598,2.47,
1721884875.078,1.41,
1721884875.582,1.64,
1721884878.089,2.7199999999999998,
1721884878.597,1.86,
1721884879.61,2.04,
1721884880.608,1.41,
1721884882.102,0.28,
1721884882.608,0.67,
1721884884.081,2.39,
1721884884.577,1.88,
1721884885.574,2.4,
1721884886.572,1.68,
1721884887.588,1.74,
1721884888.574,2.04,
1721884890.569,1.9300000000000002,
1721884892.045,3.33,
1721884893.042,3.42,
1721884893.553,2.1399999999999997,
1721884894.548,2.48,
1721884896.026,2.51,
1721884897.017,4.58,
1721884897.509,4.4399999999999995,
1721884899.008,1.15,
1721884899.494,3.71,
1721884901.474,1.62,
1721884904.944,1.98,
1721884905.432,1.6800000000000002,
1721884906.423,2.96,
1721884907.945,2.13,
1721884908.447,2.3,
1721884909.447,2.31,
1721884910.924,2.92,
1721884911.927,1.94,
1721884912.409,1.98,
1721884913.876,0.94,
1721884914.375,2.83,
1721884915.862,3.54,
1721884917.868,1.21,
1721884918.863,0.4,
