time,tech_perfusion
1721884718.242,0.71,
1721884719.213,0.69,
1721884720.694,0.69,
1721884722.192,0.65,
1721884724.175,0.69,
1721884725.16,0.68,
1721884726.154,0.68,
1721884727.635,0.64,
1721884728.126,0.64,
1721884729.129,0.46,
1721884730.145,0.53,
1721884731.141,0.59,
1721884732.146,0.59,
1721884733.148,0.24,
1721884734.133,0.29,
1721884735.114,0.49,
1721884736.128,0.38,
1721884737.109,0.71,
1721884738.078,0.5,
1721884740.076,0.61,
1721884742.582,1.08,
1721884743.591,0.52,
1721884744.562,0.4,
1721884745.55,0.5,
1721884746.041,0.61,
1721884747.512,0.69,
1721884748.005,0.68,
1721884749.007,0.79,
1721884749.982,0.77,
1721884750.961,0.64,
1721884752.94,0.7,
1721884753.946,0.71,
1721884755.906,0.78,
1721884757.808,0.64,
1721884759.332,0.89,
1721884759.825,0.72,
1721884760.816,0.73,
1721884763.3,0.86,
1721884763.805,0.95,
1721884765.284,0.63,
1721884765.78,0.61,
1721884766.782,0.61,
1721884767.775,0.91,
1721884768.787,1.2,
1721884770.791,0.51,
1721884771.818,0.58,
1721884772.817,0.63,
1721884773.812,0.69,
1721884774.807,0.69,
1721884775.822,0.69,
1721884777.317,0.79,
1721884777.833,0.65,
1721884779.341,0.65,
1721884779.846,0.74,
1721884780.845,0.73,
1721884781.841,0.68,
1721884782.848,0.62,
1721884783.849,0.82,
1721884785.351,0.82,
1721884786.35,1.47,
1721884787.366,0.62,
1721884787.858,0.07,
1721884788.86,0.65,
1721884789.854,0.65,
1721884791.847,1.22,
1721884792.852,1.22,
1721884793.843,0.43,
1721884794.854,0.43,
1721884796.342,0.51,
1721884796.84,0.44,
1721884797.839,0.5,
1721884799.821,0.79,
1721884800.823,0.58,
1721884801.834,0.53,
1721884803.331,0.69,
1721884803.833,0.87,
1721884804.83,0.47,
1721884805.826,0.47,
1721884807.321,1.56,
1721884807.82,0.4,
1721884808.825,0.69,
1721884809.815,0.83,
1721884810.814,0.65,
1721884812.312,0.7,
1721884813.32,0.45,
1721884814.791,0.4,
1721884815.777,0.4,
1721884816.779,0.61,
1721884818.286,0.61,
1721884818.785,0.3,
1721884819.801,0.75,
1721884820.822,0.52,
1721884821.82,0.33,
1721884822.791,0.62,
1721884824.776,0.52,
1721884826.779,0.58,
1721884828.271,0.08,
1721884829.295,0.82,
1721884829.788,0.83,
1721884831.305,0.78,
1721884831.81,0.31,
1721884832.837,0.86,
1721884833.826,0.29,
1721884834.822,0.4,
1721884835.812,0.37,
1721884837.288,0.29,
1721884838.775,0.25,
1721884840.252,0.55,
1721884840.738,0.23,
1721884842.25,0.64,
1721884842.764,0.47,
1721884843.765,0.62,
1721884845.271,0.62,
1721884846.748,0.49,
1721884847.742,0.49,
1721884849.728,0.45,
1721884853.724,0.3,
1721884856.165,0.42,
1721884856.66,0.67,
1721884857.662,0.25,
1721884858.655,0.44,
1721884860.136,0.38,
1721884860.64,0.35,
1721884861.648,0.34,
1721884863.607,0.51,
1721884865.104,0.51,
1721884866.096,1.23,
1721884866.602,0.49,
1721884868.125,0.32,
1721884868.628,0.45,
1721884869.624,0.41,
1721884870.623,0.48,
1721884872.104,0.49,
1721884872.603,0.33,
1721884873.598,0.38,
1721884875.078,0.25,
1721884875.582,0.24,
1721884878.089,0.62,
1721884878.597,0.54,
1721884879.61,0.63,
1721884880.608,0.19,
1721884882.102,0.31,
1721884882.608,0.24,
1721884884.081,0.38,
1721884884.577,0.38,
1721884885.574,0.2,
1721884886.572,0.33,
1721884887.588,0.26,
1721884888.574,0.37,
1721884890.569,0.46,
1721884892.045,0.67,
1721884893.042,0.47,
1721884893.553,0.72,
1721884894.548,0.72,
1721884896.026,0.32,
1721884897.017,0.32,
1721884897.509,1.83,
1721884899.008,0.78,
1721884899.494,0.12,
1721884901.474,0.74,
1721884904.944,0.5,
1721884905.432,2.86,
1721884906.423,0.73,
1721884907.945,0.71,
1721884908.447,0.62,
1721884909.447,1.03,
1721884910.924,0.25,
1721884911.927,0.49,
1721884912.409,0.59,
